City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Harper,LR,4.375,-7.7169,80.87,82,6,8.28,clear sky
257,Riyadh,SA,24.6877,46.7219,89.64,12,66,16.75,broken clouds
258,Saint George,US,37.1041,-113.5841,77.47,13,1,5.99,clear sky
259,Durango,MX,24.8333,-104.8333,69.42,46,94,9.44,overcast clouds
260,Puerto Carreno,CO,6.189,-67.4859,86.99,66,91,4.99,overcast clouds
261,Goure,NE,13.9835,10.2704,85.51,11,98,7.63,overcast clouds
262,Superior,US,46.7208,-92.1041,42.71,92,90,13.8,light rain
263,Vila Velha,BR,-20.3297,-40.2925,77.95,85,100,5.99,overcast clouds
264,Baft,IR,29.234,56.6057,65.55,36,56,3.58,broken clouds
265,Lagos,NG,6.5833,3.75,77.45,86,87,3.85,overcast clouds
266,Sesheke,ZM,-17.4759,24.2968,57.11,61,0,5.37,clear sky
267,Colac,AU,-38.3333,143.5833,55.08,78,100,6.35,overcast clouds
268,Ochamchira,GE,42.7121,41.4721,58.39,93,100,4.09,overcast clouds
269,Abu Kamal,SY,34.4506,40.9171,75.45,30,0,9.69,clear sky
270,Bangsund,NO,64.3968,11.3949,51.91,82,73,5.75,broken clouds
271,Muli,MV,2.9167,73.5667,83.95,76,100,16.24,light rain
272,Mount Isa,AU,-20.7333,139.5,56.97,67,1,0.0,clear sky
273,Tono,JP,39.3167,141.5333,55.47,96,99,5.08,overcast clouds
274,Lhokseumawe,ID,5.1801,97.1507,77.41,86,100,3.96,overcast clouds
275,Erzin,TR,36.9559,36.2,72.32,54,30,8.19,scattered clouds
276,Furth Im Wald,DE,49.3097,12.84,48.22,93,2,4.07,clear sky
277,Den Helder,NL,52.9599,4.7593,53.98,84,90,15.99,overcast clouds
278,Coari,BR,-4.085,-63.1414,81.72,77,87,2.57,overcast clouds
279,Hami,CN,42.8,93.45,62.78,19,0,4.99,clear sky
280,Kahului,US,20.8947,-156.47,84.22,72,40,20.71,scattered clouds
281,Le Port,RE,-20.9373,55.2919,71.56,71,25,3.65,scattered clouds
282,Nizhniy Odes,RU,63.6445,54.856,41.23,71,61,5.64,broken clouds
283,Artyom,AZ,40.4723,50.333,68.14,83,68,20.02,broken clouds
284,Pisco,PE,-13.7,-76.2167,67.01,72,70,5.19,broken clouds
285,Narsaq,GL,60.9167,-46.05,40.33,47,100,11.03,overcast clouds
286,Lebedinyy,RU,58.5167,125.5167,32.29,99,100,7.43,light snow
287,Tuatapere,NZ,-46.1333,167.6833,49.82,87,28,3.69,scattered clouds
288,Paamiut,GL,61.994,-49.6678,33.51,88,100,16.8,overcast clouds
289,Coihaique,CL,-45.5752,-72.0662,47.37,98,99,7.31,light rain
290,Lufilufi,WS,-13.8745,-171.5986,89.38,76,39,6.78,light rain
291,Hirara,JP,24.8,125.2833,80.87,94,20,12.66,few clouds
292,Edirne,TR,41.6772,26.556,65.8,84,2,4.27,clear sky
293,Vestmannaeyjar,IS,63.4427,-20.2734,44.08,77,36,7.45,scattered clouds
294,North Platte,US,41.1239,-100.7654,80.02,62,100,5.99,overcast clouds
295,Sovetskiy,RU,61.3614,63.5842,54.37,63,4,5.66,clear sky
296,General Roca,AR,-39.0333,-67.5833,56.39,44,24,8.79,few clouds
297,Iralaya,HN,15.0,-83.2333,84.29,78,100,13.8,overcast clouds
298,Shubarshi,KZ,48.5872,57.1869,70.65,29,6,6.49,clear sky
299,Caravelas,BR,-17.7125,-39.2481,76.12,86,73,9.95,broken clouds
300,Mangrol,IN,21.1167,70.1167,83.23,77,0,12.01,clear sky
301,Maloy,NO,61.9353,5.1136,50.05,87,96,4.7,overcast clouds
302,Ibra,OM,22.6906,58.5334,80.44,69,0,2.35,clear sky
303,Japura,ID,-0.3167,102.35,73.42,95,56,1.36,broken clouds
304,Okato,NZ,-39.2,173.8833,54.43,70,100,17.36,overcast clouds
305,Bethel,US,41.3712,-73.414,86.72,73,90,20.71,overcast clouds
306,Kavaratti,IN,10.5669,72.642,83.19,74,98,7.02,overcast clouds
307,Vao,NC,-22.6667,167.4833,72.18,54,43,16.67,scattered clouds
