City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Inirida,CO,78.08,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
140,Touros,BR,78.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
143,Bonfim,BR,83.1,broken clouds,3.0833,-59.95,
145,Saint-Georges,GD,80.19,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
166,Kanniyakumari,IN,81.09,overcast clouds,8.0833,77.5667,Sparsa
168,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
169,Silvania,BR,75.29,overcast clouds,-16.6589,-48.6081,Hotel Dom Bosco
172,Namatanai,PG,78.42,overcast clouds,-3.6667,152.4333,Namatanai Hotel
173,Salalah,OM,80.71,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
181,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
185,Saint Anthony,US,79.3,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
189,Gamba,GA,76.44,overcast clouds,-2.65,10.0,
190,San Policarpo,PH,81.66,scattered clouds,12.1791,125.5072,JM Lodge
191,Villa Del Rosario,CO,83.75,overcast clouds,7.8339,-72.4742,Hotel Villas de San Diego
198,Henderson,US,83.75,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
203,Marzuq,YE,78.98,scattered clouds,14.4,46.4667,
205,Sola,VU,79.0,overcast clouds,-13.8833,167.55,Leumerus Bungalows
206,Trairi,BR,78.91,overcast clouds,-3.2778,-39.2689,janelas do mar
209,Pundaguitan,PH,82.53,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
210,Palmer,US,78.94,broken clouds,42.1584,-72.3287,Wedgewood Motel
212,Muisne,EC,77.54,broken clouds,0.6,-80.0333,Quinta Samay
215,Cockburn Town,TC,78.35,clear sky,21.4612,-71.1419,Osprey Beach Hotel
224,Terra Santa,BR,79.68,broken clouds,-2.1042,-56.4869,Hotel Sarah
227,Hithadhoo,MV,83.84,overcast clouds,-0.6,73.0833,Scoop Guest House
229,Dingle,PH,77.43,clear sky,10.9995,122.6711,SEGAYA PROPERTY
246,Half Moon Bay,US,76.53,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
253,Jati,PK,83.3,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
254,Hamilton,US,84.99,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
255,Yarada,IN,84.52,overcast clouds,17.65,83.2667,Jeevan
256,Harper,LR,80.87,clear sky,4.375,-7.7169,Screensaver
258,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
263,Vila Velha,BR,77.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
265,Lagos,NG,77.45,overcast clouds,6.5833,3.75,
269,Abu Kamal,SY,75.45,clear sky,34.4506,40.9171,محطة التلفاز
271,Muli,MV,83.95,light rain,2.9167,73.5667,Medhufushi Island Resort
274,Lhokseumawe,ID,77.41,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
278,Coari,BR,81.72,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
280,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
291,Hirara,JP,80.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
294,North Platte,US,80.02,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
297,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
299,Caravelas,BR,76.12,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
300,Mangrol,IN,83.23,clear sky,21.1167,70.1167,Hotel The Royal Honours
302,Ibra,OM,80.44,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
306,Kavaratti,IN,83.19,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
311,Si Sa Ket,TH,77.86,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
312,Porto Novo,BJ,80.11,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
319,Monrovia,LR,81.28,broken clouds,6.3005,-10.7969,Sunset Inn
